Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS}
Test,Assemble,Assemble_B10__pl_5,5,TO,,,,,,,TO,,,,,,
Test,Assemble,Assemble_B2__pl_5,5,Yes,5.0,14.0,264.0,1.0,192.0,70.0,Yes,5.0,14.0,269.0,1.0,211.0,56.0
Training,Assemble,Assemble_B3__pl_5,5,Yes,5.0,14.0,164.0,1.0,121.0,41.0,Yes,5.0,14.0,378.0,1.0,266.0,110.0
Test,Assemble,Assemble_B4__pl_5,5,Yes,5.0,14.0,275.0,1.0,247.0,26.0,Yes,5.0,14.0,376.0,2.0,290.0,83.0
Training,Assemble,Assemble_B5__pl_5,5,Yes,5.0,14.0,223.0,1.0,197.0,24.0,Yes,5.0,14.0,323.0,1.0,272.0,49.0
Test,Assemble,Assemble_B6__pl_5,5,Yes,5.0,14.0,804.0,1.0,725.0,77.0,Yes,5.0,14.0,1025.0,2.0,974.0,48.0
Training,Assemble,Assemble_B7__pl_5,5,Yes,5.0,14.0,4368.0,1.0,4323.0,43.0,Yes,5.0,14.0,8500.0,2.0,8402.0,95.0
Test,Assemble,Assemble_B8__pl_5,5,Yes,5.0,14.0,24655.0,1.0,24587.0,66.0,Yes,5.0,14.0,35914.0,4.0,35815.0,94.0
Test,Assemble,Assemble_B9__pl_5,5,Yes,5.0,14.0,295842.0,2.0,295803.0,36.0,Yes,5.0,14.0,465844.0,2.0,465801.0,40.0
Test,Assemble,Assemble_C__pl_5,5,Yes,5.0,14.0,124.0,1.0,94.0,28.0,Yes,5.0,14.0,174.0,2.0,128.0,43.0
Test,CC,CC_2_2_3__pl_3,3,Yes,3.0,9.0,111.0,6.0,50.0,54.0,Yes,4.0,7.0,103.0,4.0,64.0,34.0
Training,CC,CC_2_2_3__pl_4,4,Yes,4.0,13.0,183.0,5.0,106.0,71.0,Yes,6.0,12.0,116.0,6.0,82.0,27.0
Test,CC,CC_2_2_3__pl_5,5,Yes,5.0,17.0,272.0,6.0,147.0,118.0,Yes,5.0,14.0,156.0,7.0,106.0,42.0
Training,CC,CC_2_2_3__pl_6,6,Yes,6.0,62.0,424.0,5.0,386.0,32.0,Yes,7.0,17.0,228.0,6.0,162.0,59.0
Test,CC,CC_2_2_3__pl_7,7,Yes,7.0,163.0,2390.0,7.0,2223.0,159.0,Yes,11.0,2150.0,6290.0,7.0,6128.0,154.0
Test,CC,CC_2_2_3__pl_8,8,Yes,8.0,1327.0,18235.0,7.0,17783.0,444.0,TO,,,,,,
Test,CC,CC_2_2_4__pl_3,3,Yes,3.0,3.0,217.0,54.0,113.0,49.0,Yes,3.0,3.0,202.0,30.0,111.0,60.0
Test,CC,CC_2_2_4__pl_4,4,Yes,6.0,7.0,324.0,57.0,192.0,74.0,Yes,6.0,6.0,390.0,31.0,265.0,93.0
Training,CC,CC_2_2_4__pl_5,5,Yes,7.0,43.0,938.0,19.0,846.0,72.0,Yes,14.0,43.0,847.0,20.0,769.0,57.0
Test,CC,CC_2_2_4__pl_6,6,Yes,6.0,21.0,1251.0,29.0,1150.0,71.0,Yes,55.0,1062.0,10165.0,41.0,9796.0,327.0
Test,CC,CC_2_2_4__pl_7,7,Yes,8.0,129.0,3989.0,26.0,3877.0,85.0,TO,,,,,,
Training,CC,CC_2_3_4__pl_3,3,Yes,5.0,6.0,2517.0,248.0,2188.0,80.0,Yes,7.0,9.0,4534.0,195.0,4230.0,108.0
Test,CC,CC_2_3_4__pl_4,4,Yes,5.0,5.0,1995.0,303.0,1615.0,76.0,Yes,5.0,5.0,1126.0,250.0,829.0,46.0
Test,CC,CC_2_3_4__pl_5,5,Yes,10.0,132.0,20181.0,389.0,19431.0,360.0,TO,,,,,,
Test,CC,CC_2_3_4__pl_6,6,Yes,11.0,1269.0,65775.0,285.0,64950.0,539.0,TO,,,,,,
Training,CC,CC_2_3_4__pl_7,7,Yes,11.0,2054.0,88913.0,301.0,87729.0,882.0,TO,,,,,,
Test,CC,CC_3_2_3__pl_3,3,Yes,3.0,4.0,228.0,11.0,59.0,157.0,Yes,3.0,3.0,236.0,42.0,74.0,119.0
Training,CC,CC_3_2_3__pl_4,4,Yes,5.0,13.0,219.0,22.0,136.0,60.0,Yes,8.0,12.0,406.0,19.0,313.0,73.0
Training,CC,CC_3_2_3__pl_5,5,Yes,6.0,51.0,888.0,30.0,787.0,70.0,Yes,21.0,3442.0,92075.0,28.0,91472.0,574.0
Test,CC,CC_3_2_3__pl_6,6,Yes,6.0,74.0,1201.0,34.0,1075.0,91.0,Yes,19.0,311.0,12446.0,34.0,12212.0,199.0
Test,CC,CC_3_2_3__pl_7,7,Yes,8.0,185.0,3058.0,34.0,2883.0,140.0,TO,,,,,,
Test,CC,CC_3_3_3__pl_3,3,Yes,3.0,3.0,218.0,71.0,107.0,39.0,Yes,3.0,3.0,212.0,55.0,109.0,47.0
Training,CC,CC_3_3_3__pl_4,4,Yes,6.0,19.0,1730.0,65.0,1566.0,98.0,Yes,7.0,8.0,788.0,68.0,604.0,115.0
Test,CC,CC_3_3_3__pl_5,5,Yes,6.0,26.0,1975.0,35.0,1864.0,75.0,Yes,8.0,12.0,2513.0,79.0,2290.0,143.0
Test,CC,CC_3_3_3__pl_6,6,Yes,8.0,226.0,13395.0,63.0,12662.0,669.0,Yes,10.0,18.0,1864.0,44.0,1754.0,65.0
Test,CC,CC_3_3_3__pl_7,7,Yes,8.0,1476.0,59481.0,83.0,57811.0,1586.0,TO,,,,,,
Test,CoinBox,Coin_in_the_Box__pl_2,2,Yes,2.0,2.0,52.0,9.0,4.0,38.0,Yes,2.0,2.0,71.0,6.0,11.0,53.0
Training,CoinBox,Coin_in_the_Box__pl_3,3,Yes,3.0,17.0,220.0,9.0,120.0,90.0,Yes,4.0,12.0,160.0,10.0,101.0,48.0
Test,CoinBox,Coin_in_the_Box__pl_5,5,Yes,5.0,77.0,425.0,12.0,355.0,57.0,Yes,5.0,16.0,156.0,6.0,116.0,33.0
Training,CoinBox,Coin_in_the_Box__pl_6,6,Yes,6.0,381.0,3534.0,9.0,3347.0,177.0,TO,,,,,,
Test,CoinBox,Coin_in_the_Box__pl_7,7,Yes,7.0,1817.0,10395.0,12.0,10239.0,143.0,TO,,,,,,
Training,SC,SC_4_1__pl_3,3,Yes,3.0,4.0,51.0,4.0,6.0,40.0,Yes,3.0,4.0,57.0,10.0,7.0,39.0
Test,SC,SC_4_1__pl_5,5,Yes,5.0,17.0,125.0,2.0,37.0,85.0,TO,,,,,,
Test,SC,SC_4_2__pl_5,5,Yes,5.0,15.0,132.0,7.0,50.0,74.0,TO,,,,,,
Training,SC,SC_4_2__pl_7,7,Yes,7.0,120.0,609.0,9.0,513.0,86.0,TO,,,,,,
Test,SC,SC_4_2__pl_8,8,Yes,8.0,339.0,1639.0,3.0,1550.0,85.0,TO,,,,,,
Training,SC,SC_4_3__pl_5,5,Yes,5.0,17.0,116.0,5.0,37.0,73.0,TO,,,,,,
Test,SC,SC_4_3__pl_6,6,Yes,6.0,21.0,162.0,8.0,37.0,116.0,TO,,,,,,
Test,SC,SC_4_3__pl_8,8,Yes,8.0,59.0,186.0,2.0,115.0,68.0,TO,,,,,,
Test,SC,SC_4_4__pl_5,5,Yes,5.0,17.0,125.0,7.0,32.0,85.0,TO,,,,,,
Training,SC,SC_8_10__pl_6,6,Yes,6.0,49.0,315.0,9.0,262.0,43.0,Yes,483.0,4776.0,50264.0,11.0,49877.0,375.0
Test,SC,SC_8_10__pl_8,8,Yes,8.0,542.0,5157.0,28.0,4969.0,159.0,Yes,1586.0,19087.0,329262.0,14.0,327850.0,1397.0
Test,SC,SC_8_10__pl_9,9,Yes,9.0,1660.0,17268.0,23.0,16772.0,472.0,Yes,1586.0,19087.0,321429.0,30.0,319547.0,1851.0
Test,SC,SC_8_10__pl_12,12,Yes,12.0,31662.0,199243.0,20.0,196737.0,2485.0,TO,,,,,,
Test,SC,SC_9_11__pl_4,4,Yes,4.0,8.0,143.0,14.0,30.0,98.0,Yes,6.0,13.0,192.0,30.0,72.0,89.0
Test,SC,SC_9_11__pl_5,5,Yes,5.0,11.0,152.0,29.0,47.0,75.0,Yes,8.0,21.0,315.0,32.0,178.0,104.0
Training,SC,SC_9_11__pl_6,6,Yes,6.0,26.0,179.0,13.0,121.0,44.0,TO,,,,,,
Test,SC,SC_9_11__pl_7,7,Yes,7.0,41.0,431.0,28.0,323.0,79.0,TO,,,,,,
Training,SC,SC_9_11__pl_8,8,Yes,8.0,66.0,388.0,12.0,321.0,54.0,TO,,,,,,
Test,SC,SC_9_11__pl_9,9,Yes,9.0,238.0,1895.0,29.0,1771.0,94.0,TO,,,,,,
Test,SC,SC_9_11__pl_10,10,Yes,10.0,663.0,6151.0,23.0,5970.0,157.0,TO,,,,,,
Test,SC,SC_9_11__pl_11,11,Yes,11.0,1262.0,15073.0,29.0,14597.0,446.0,TO,,,,,,
Test,SC,SC_10_8__pl_9,9,TO,,,,,,,TO,,,,,,
Training,SC,SC_10_8__pl_10,10,Yes,10.0,10.0,174.0,11.0,79.0,83.0,Yes,10.0,10.0,153.0,16.0,47.0,89.0
Test,SC,SC_10_8__pl_14,14,Yes,14.0,93.0,481.0,9.0,420.0,51.0,Yes,16.0,33.0,390.0,23.0,263.0,103.0
Training,SC,SC_10_8__pl_15,15,Yes,15.0,130.0,824.0,16.0,723.0,84.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_2,2,Yes,2.0,6.0,280.0,19.0,195.0,65.0,Yes,4.0,13.0,386.0,33.0,282.0,70.0
Test,SCRich,SC_10_10__pl_3,3,Yes,3.0,10.0,239.0,23.0,169.0,46.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_6,6,Yes,6.0,309.0,8676.0,35.0,8563.0,77.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_7,7,Yes,7.0,647.0,17999.0,32.0,17810.0,156.0,TO,,,,,,
Test,SC,SC_10_10__pl_9,9,Yes,9.0,10.0,188.0,13.0,22.0,152.0,Yes,9.0,10.0,114.0,16.0,26.0,71.0
Test,SCRich,SC_10_10__pl_9,9,Yes,9.0,886.0,20614.0,21.0,20501.0,91.0,Yes,13.0,65.0,1442.0,27.0,1352.0,62.0
Test,SC,SC_10_10__pl_10,10,Yes,10.0,15.0,191.0,11.0,100.0,79.0,Yes,11.0,17.0,220.0,19.0,59.0,141.0
Training,SCRich,SC_10_10__pl_10,10,Yes,10.0,3096.0,80030.0,22.0,79739.0,268.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_13,13,Yes,13.0,15826.0,285398.0,15.0,285039.0,343.0,TO,,,,,,
Training,SC,SC_10_10__pl_13,13,Yes,13.0,51.0,431.0,14.0,281.0,135.0,Yes,17.0,49.0,406.0,19.0,313.0,73.0
Test,SCRich,SC_10_10__pl_14,14,TO,,,,,,,TO,,,,,,
Test,SC,SC_10_10__pl_17,17,Yes,17.0,946.0,7240.0,13.0,6849.0,377.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_17,17,TO,,,,,,,TO,,,,,,
