Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS}
Test,Assemble,Assemble_B10__pl_5,5,TO,,,,,,,TO,,,,,,
Test,Assemble,Assemble_B2__pl_5,5,Yes,5.0,14.0,264.0,1.0,191.0,71.0,Yes,5.0,14.0,125.0,1.0,92.0,31.0
Training,Assemble,Assemble_B3__pl_5,5,Yes,5.0,14.0,154.0,2.0,120.0,31.0,Yes,5.0,14.0,249.0,1.0,201.0,46.0
Test,Assemble,Assemble_B4__pl_5,5,Yes,5.0,14.0,332.0,2.0,256.0,73.0,Yes,5.0,14.0,167.0,1.0,132.0,33.0
Training,Assemble,Assemble_B5__pl_5,5,Yes,5.0,14.0,371.0,2.0,318.0,50.0,Yes,5.0,14.0,245.0,1.0,215.0,28.0
Test,Assemble,Assemble_B6__pl_5,5,Yes,5.0,14.0,826.0,2.0,758.0,65.0,Yes,5.0,14.0,689.0,1.0,653.0,34.0
Training,Assemble,Assemble_B7__pl_5,5,Yes,5.0,14.0,4790.0,2.0,4734.0,53.0,Yes,5.0,14.0,4660.0,2.0,4611.0,46.0
Test,Assemble,Assemble_B8__pl_5,5,Yes,5.0,14.0,25636.0,8.0,25566.0,61.0,Yes,5.0,14.0,25949.0,2.0,25884.0,62.0
Test,Assemble,Assemble_B9__pl_5,5,Yes,5.0,14.0,296625.0,2.0,296590.0,32.0,Yes,5.0,14.0,379798.0,2.0,379751.0,44.0
Test,Assemble,Assemble_C__pl_5,5,Yes,5.0,14.0,237.0,1.0,184.0,51.0,Yes,5.0,14.0,165.0,1.0,124.0,39.0
Test,CC,CC_2_2_3__pl_3,3,Yes,4.0,11.0,108.0,6.0,69.0,32.0,Yes,22.0,146.0,2225.0,18.0,1970.0,236.0
Training,CC,CC_2_2_3__pl_4,4,Yes,5.0,9.0,141.0,5.0,90.0,45.0,Yes,7.0,12.0,123.0,6.0,83.0,33.0
Test,CC,CC_2_2_3__pl_5,5,Yes,5.0,9.0,134.0,8.0,57.0,68.0,Yes,10.0,24.0,563.0,19.0,457.0,86.0
Training,CC,CC_2_2_3__pl_6,6,Yes,6.0,10.0,106.0,5.0,53.0,47.0,Yes,9.0,18.0,246.0,5.0,190.0,50.0
Test,CC,CC_2_2_3__pl_7,7,Yes,8.0,33837.0,214811.0,6.0,211847.0,2957.0,TO,,,,,,
Test,CC,CC_2_2_3__pl_8,8,Yes,8.0,247.0,2434.0,6.0,2372.0,55.0,Yes,11.0,36.0,763.0,17.0,599.0,146.0
Test,CC,CC_2_2_4__pl_3,3,Yes,3.0,3.0,279.0,45.0,130.0,103.0,Yes,3.0,3.0,290.0,40.0,148.0,101.0
Test,CC,CC_2_2_4__pl_4,4,Yes,6.0,9.0,212.0,59.0,110.0,42.0,Yes,8.0,11.0,689.0,69.0,504.0,115.0
Training,CC,CC_2_2_4__pl_5,5,Yes,9.0,77.0,2507.0,25.0,2393.0,88.0,Yes,13.0,38.0,1221.0,19.0,1145.0,56.0
