Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS},Goal {p5},Length {p5},Nodes {p5},Total (ms) {p5},Init (ms) {p5},Search (ms) {p5},Overhead (ms) {p5},Search {p5}
Test,Assemble,Assemble_B10__pl_5,5,TO,,,,,,,TO,,,,,,,TO,,,,,,,-
Test,Assemble,Assemble_B2__pl_5,5,Yes,5.0,14.0,264.0,1.0,192.0,70.0,Yes,5.0,14.0,264.0,1.0,191.0,71.0,Yes,5.0,14.0,285.0,5.0,200.0,79.0,A*(GNN)
Training,Assemble,Assemble_B3__pl_5,5,Yes,5.0,14.0,164.0,1.0,121.0,41.0,Yes,5.0,14.0,154.0,2.0,120.0,31.0,Yes,5.0,14.0,308.0,6.0,203.0,98.0,A*(GNN)
Test,Assemble,Assemble_B4__pl_5,5,Yes,5.0,14.0,275.0,1.0,247.0,26.0,Yes,5.0,14.0,332.0,2.0,256.0,73.0,Yes,5.0,14.0,330.0,4.0,236.0,89.0,A*(GNN)
Training,Assemble,Assemble_B5__pl_5,5,Yes,5.0,14.0,223.0,1.0,197.0,24.0,Yes,5.0,14.0,371.0,2.0,318.0,50.0,Yes,5.0,14.0,475.0,6.0,370.0,98.0,A*(GNN)
Test,Assemble,Assemble_B6__pl_5,5,Yes,5.0,14.0,804.0,1.0,725.0,77.0,Yes,5.0,14.0,826.0,2.0,758.0,65.0,Yes,5.0,14.0,1127.0,5.0,1047.0,74.0,A*(GNN)
Training,Assemble,Assemble_B7__pl_5,5,Yes,5.0,14.0,4368.0,1.0,4323.0,43.0,Yes,5.0,14.0,4790.0,2.0,4734.0,53.0,Yes,5.0,14.0,9894.0,5.0,9807.0,81.0,A*(GNN)
Test,Assemble,Assemble_B8__pl_5,5,Yes,5.0,14.0,24655.0,1.0,24587.0,66.0,Yes,5.0,14.0,25636.0,8.0,25566.0,61.0,Yes,5.0,14.0,48340.0,3.0,48286.0,50.0,A*(GNN)
Test,Assemble,Assemble_B9__pl_5,5,Yes,5.0,14.0,295842.0,2.0,295803.0,36.0,Yes,5.0,14.0,296625.0,2.0,296590.0,32.0,TO,,,,,,,-
Test,Assemble,Assemble_C__pl_5,5,Yes,5.0,14.0,124.0,1.0,94.0,28.0,Yes,5.0,14.0,237.0,1.0,184.0,51.0,Yes,5.0,14.0,238.0,2.0,180.0,55.0,A*(GNN)
